"Start time: 2024-12-01 07:42:36"
"Start due to power on record",
"Device ID: "
"Sample rate per sec.: 1.000000"
"UTC Time","200psi 5v           "," 5psi 5v"," O2 electrochemical"," O2 ZrO2"," Mass Flow 5v","O2 Paramagnetic"
45627.32163194445,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32164351852,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32165509259,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0006
45627.32166666667,0.5026,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32167824075,0.5023,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32168981482,0.5026,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32170138889,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32171296296,0.5029,0.5040,-0.0011,-0.0029,0.0069,-0.0003
45627.32172453704,0.5026,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32173611112,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32174768519,0.5029,0.5040,-0.0011,-0.0029,0.0069,-0.0003
45627.32175925926,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32177083334,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32178240741,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32179398149,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32180555556,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32181712963,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32182870371,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32184027778,0.5029,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32185185186,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32186342593,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32187500000,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32188657408,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32189814816,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32190972222,0.5032,0.5040,-0.0011,-0.0029,0.0069,-0.0003
45627.32192129630,0.5032,0.5040,-0.0011,-0.0029,0.0069,-0.0003
45627.32193287037,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32194444445,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32195601852,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32196759259,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32197916667,0.5032,0.5040,-0.0008,-0.0029,0.0069,-0.0003
45627.32199074075,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32200231482,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32201388889,0.5029,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32202546296,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32203703704,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32204861112,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32206018519,0.5032,0.5040,-0.0008,-0.0029,0.0069,-0.0003
45627.32207175926,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32208333334,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32209490741,0.5026,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32210648149,0.5029,0.5040,-0.0008,-0.0026,0.0069,-0.0003
45627.32211805556,0.5029,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32212962963,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32214120371,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32215277778,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32216435186,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32217592593,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32218750000,0.5032,0.5040,-0.0011,-0.0029,0.0069,-0.0003
45627.32219907408,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32221064816,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32222222222,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32223379630,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32224537037,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32225694445,0.5032,0.5037,-0.0008,-0.0029,0.0069,-0.0003
45627.32226851852,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32228009259,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32229166667,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32230324075,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32231481482,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32232638889,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32233796296,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32234953704,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32236111112,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32237268519,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32238425926,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32239583334,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32240740741,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32241898149,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32243055556,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32244212963,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32245370371,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32246527778,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32247685186,0.5029,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32248842593,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32250000000,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32251157408,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32252314815,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32253472223,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32254629630,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32255787037,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32256944445,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32258101852,0.5032,0.5040,-0.0011,-0.0029,0.0069,-0.0003
45627.32259259259,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32260416667,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32261574074,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32262731482,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32263888889,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32265046296,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32266203704,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32267361112,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32268518519,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32269675926,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32270833334,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32271990741,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32273148149,0.5035,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32274305556,0.5035,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32275462963,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32276620371,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32277777778,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32278935186,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32280092593,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32281250000,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32282407408,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32283564815,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32284722223,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32285879630,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32287037037,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32288194445,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32289351853,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32290509259,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32291666667,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32292824074,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32293981482,0.5035,0.5040,-0.0011,-0.0026,0.0072,-0.0003
45627.32295138889,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32296296296,0.5035,0.5040,-0.0011,-0.0026,0.0072,-0.0003
45627.32297453704,0.5032,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32298611112,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32299768519,0.5035,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32300925926,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32302083333,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32303240741,0.5035,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32304398149,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32305555556,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32306712963,0.5035,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32307870371,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32309027778,0.5032,0.5040,-0.0011,-0.0029,0.0072,-0.0003
45627.32310185186,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32311342593,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32312500000,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32313657408,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32314814815,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32315972223,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32317129630,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32318287037,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32319444445,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32320601853,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32321759260,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32322916667,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32324074074,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32325231482,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32326388889,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32327546296,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32328703704,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32329861112,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0006
45627.32331018519,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32332175926,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32333333333,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32334490741,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32335648149,0.5029,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32336805556,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32337962963,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32339120371,0.5032,0.5040,-0.0008,-0.0026,0.0069,-0.0003
45627.32340277778,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32341435186,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32342592593,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32343750000,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32344907408,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32346064815,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32347222223,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32348379630,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32349537037,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32350694445,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32351851852,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32353009260,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32354166667,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32355324074,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32356481482,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32357638890,0.5035,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32358796296,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32359953704,0.5032,0.5037,-0.0011,-0.0026,0.0069,0.0000
45627.32361111112,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32362268519,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32363425926,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32364583333,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32365740741,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32366898149,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32368055556,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32369212963,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32370370371,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32371527778,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32372685186,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32373842593,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32375000000,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32376157408,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32377314815,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32378472223,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32379629630,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32380787037,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32381944445,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32383101852,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32384259260,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32385416667,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32386574074,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32387731482,0.5032,0.5040,-0.0008,-0.0026,0.0069,-0.0003
45627.32388888890,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32390046296,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32391203704,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32392361111,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32393518519,0.5026,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32394675926,0.5029,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32395833333,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32396990741,0.5029,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32398148149,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32399305556,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32400462963,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32401620370,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32402777778,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32403935186,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32405092593,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32406250000,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32407407408,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32408564815,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32409722223,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32410879630,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32412037037,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32413194445,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32414351852,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32415509260,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32416666667,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32417824074,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32418981482,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32420138890,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32421296297,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32422453704,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32423611111,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32424768519,0.5035,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32425925927,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32427083333,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32428240741,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32429398149,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32430555556,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32431712963,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32432870370,0.5035,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32434027778,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32435185186,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32436342593,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32437500000,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32438657408,0.5035,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32439814815,0.5035,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32440972223,0.5035,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32442129630,0.5035,0.5037,-0.0011,-0.0029,0.0072,-0.0003
45627.32443287037,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32444444445,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32445601852,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32446759260,0.5035,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32447916667,0.5032,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32449074074,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32450231482,0.5035,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32451388890,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32452546297,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32453703704,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32454861111,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32456018519,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32457175927,0.5032,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32458333333,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32459490741,0.5035,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32460648149,0.5035,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32461805556,0.5032,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32462962963,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32464120370,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32465277778,0.5032,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32466435186,0.5032,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32467592593,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32468750000,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32469907408,0.5035,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32471064815,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32472222223,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32473379630,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32474537037,0.5035,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32475694445,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32476851852,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32478009260,0.5035,0.5037,-0.0008,-0.0026,0.0069,-0.0003
45627.32479166667,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32480324074,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32481481482,0.5035,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32482638889,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32483796297,0.5035,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32484953704,0.5035,0.5034,-0.0008,-0.0026,0.0072,-0.0003
45627.32486111111,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32487268519,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32488425927,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32489583334,0.5032,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32490740741,0.5035,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32491898148,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32493055556,0.5035,0.5037,-0.0008,-0.0026,0.0072,-0.0003
45627.32494212964,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32495370370,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32496527778,0.5035,0.5037,-0.0011,-0.0026,0.0072,-0.0003
45627.32497685186,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32498842593,0.5032,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32500000000,0.5035,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32501157408,0.5035,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32502314815,0.5032,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32503472223,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0003
45627.32504629630,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32505787037,0.5035,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32506944445,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32508101852,0.5032,0.5034,-0.0011,-0.0026,0.0069,-0.0003
45627.32509259260,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32510416667,0.5032,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32511574074,0.5032,0.5034,-0.0011,-0.0026,0.0069,-0.0003
